date,yt_subscribers,yt_total_views
2025-07-10,8840,1806353
2025-07-11,8880,1824249
2025-07-12,8910,1836955
2025-07-13,8960,1849922
2025-07-14,9010,1862614
2025-07-15,9090,1904326
2025-07-16,9160,1947882
2025-07-17,9210,1988906
2025-07-18,9240,2013887
2025-07-19,9280,2030110
2025-07-20,9330,2042580
2025-07-21,9390,2060759
2025-07-22,9420,2075199
2025-07-23,9460,2093260
2025-07-24,9510,2126735
2025-07-25,9560,2176093
2025-07-26,9590,2197875
2025-07-27,9650,2212311
2025-07-28,9670,2233316
2025-07-29,9710,2249610
2025-07-30,9750,2277251
2025-07-31,9770,2313035
2025-08-01,9780,2338087
2025-08-02,9800,2348346
2025-08-03,9860,2357145
2025-08-04,9890,2375609
2025-08-05,9930,2389319
2025-08-06,10000,2405963
2025-08-07,10100,2420732
2025-08-08,10100,2452817
2025-08-09,10200,2467905
2025-08-10,10300,2511934
2025-08-11,10300,2541309
2025-08-12,10300,2549186
2025-08-13,10400,2575465
2025-08-14,10400,2604047
2025-08-15,10500,2618807
2025-08-16,10500,2639745
2025-08-17,10500,2653608
2025-08-18,10600,2670562
2025-08-19,10600,2688223
2025-08-20,10700,2722547
2025-08-21,10700,2756507
2025-08-22,10700,2775166
2025-08-23,10800,2786419
2025-08-24,10800,2803079
2025-08-25,10800,2814198
2025-08-26,10900,2847306
2025-08-27,10900,2869193
2025-08-28,10900,2888867
2025-08-29,10900,2903237
2025-08-30,11000,2914228
2025-08-31,11000,2925425
2025-09-01,11000,2946880
2025-09-02,11100,2957171
2025-09-03,11100,2966557
2025-09-04,11100,2977978
2025-09-05,11100,2983843
2025-09-06,11100,2989346
2025-09-07,11200,2995688
2025-09-08,11200,3005229
2025-09-09,11200,3009494
2025-09-10,11200,3014320
2025-09-11,11200,3022317
2025-09-12,11200,3027124
2025-09-13,11300,3036505
2025-09-14,11300,3039941
2025-09-15,11300,3052153
2025-09-16,11300,3057430
2025-09-17,11400,3061581
2025-09-18,11400,3064489
2025-09-19,11400,3067567
2025-09-20,11400,3071069
2025-09-21,11400,3074164
2025-09-22,11400,3076293
2025-09-23,11400,3077978
2025-09-24,11400,3081439
2025-09-25,11400,3085217
2025-09-26,11400,3087770
2025-09-27,11400,3091541
2025-09-28,11400,3094840
2025-09-29,11400,3098142
2025-09-30,11400,3101991
2025-10-01,11400,3106660
2025-10-02,11400,3109540
2025-10-03,11400,3112813
2025-10-04,11500,3117694
2025-10-05,11500,3123594
2025-10-06,11500,3128440
2025-10-07,11500,3130747
2025-10-08,11500,3132582
2025-10-09,11500,3134982
2025-10-10,11500,3137078
2025-10-11,11500,3139097
2025-10-12,11500,3140668
2025-10-13,11500,3142652
2025-10-14,11500,3143973
2025-10-15,11500,3145488
2025-10-16,11500,3146980
2025-10-17,11500,3148681
2025-10-18,11500,3150268
2025-10-19,11500,3151893
2025-10-20,11500,3153411
2025-10-21,11500,3155152
2025-10-22,11500,3156593
2025-10-23,11500,3158080
2025-10-24,11500,3159831
2025-10-25,11500,3161050
2025-10-26,11600,3162532
2025-10-27,11500,3163829
2025-10-28,11600,3165310
2025-10-29,11600,3165310
2025-10-30,11600,3167670
2025-10-31,11600,3168759
2025-11-01,11600,3170204
2025-11-02,11600,3171442
2025-11-03,11600,3173589
2025-11-04,11600,3174217
2025-11-05,11600,3175954
2025-11-06,11600,3177522
2025-11-07,11600,3178355
2025-11-08,11600,3180152
2025-11-09,11600,3181607
2025-11-10,11600,3182691
2025-11-11,11600,3183892
2025-11-12,11600,3185007
2025-11-13,11600,3185722
2025-11-14,11600,3186295
2025-11-15,11600,3188195
2025-11-16,11600,3189591
2025-11-17,11600,3190645
2025-11-18,11600,3192102
2025-11-19,11600,3193591
2025-11-20,11600,3194758
2025-11-21,11600,3195715
2025-11-22,11600,3196174
2025-11-23,11600,3197975
2025-11-24,11600,3198839
2025-11-25,11600,3199620
2025-11-26,11600,3200861
2025-11-27,11600,3202715
2025-11-28,11600,3203843
2025-11-29,11600,3204667
2025-11-30,11600,3205910
2025-12-01,11600,3207259
2025-12-02,11600,3208204
2025-12-03,11600,3209522
2025-12-04,11600,3211121
2025-12-05,11600,3212313
2025-12-06,11600,3213311
2025-12-07,11600,3214264
2025-12-08,11600,3215220
2025-12-09,11600,3216427
2025-12-10,11600,3217356
2025-12-11,11600,3217942
2025-12-12,11600,3219232
2025-12-13,11600,3220084
2025-12-14,11600,3221028
2025-12-15,11600,3222130
2025-12-16,11600,3223337
2025-12-17,11600,3224487
2025-12-18,11600,3225160
2025-12-19,11600,3225870
2025-12-20,11600,3226665
2025-12-21,11600,3227255
2025-12-22,11600,3228441
2025-12-23,11600,3228823
2025-12-24,11600,3229784
2025-12-25,11600,3230378
2025-12-26,11600,3231069
2025-12-27,11600,3231693
2025-12-28,11600,3232678
2025-12-29,11600,3233363
2025-12-30,11600,3233734
2025-12-31,11600,3234798
2026-01-01,11600,3235420
2026-01-02,11600,3236194
2026-01-03,11600,3236691
2026-01-04,11600,3237234
2026-01-05,11600,3237896
2026-01-06,11600,3238708
2026-01-07,11600,3239659
2026-01-08,11600,3240020
2026-01-09,11600,3240785
2026-01-10,11600,3241441
2026-01-11,11600,3242264
2026-01-12,11600,3242749
2026-01-13,11600,3243885
2026-01-14,11600,3244682
2026-01-15,11600,3245521
2026-01-16,11600,3246082
2026-01-17,11600,3245471
2026-01-18,11600,3245998
2026-01-19,11600,3247483
2026-01-20,11600,3248521
2026-01-21,11600,3249337
2026-01-22,11600,3250369
2026-01-23,11600,3250969
2026-01-24,11600,3251585
2026-01-25,11600,3252673
2026-01-26,11600,3253250
2026-01-27,11600,3253940
2026-01-28,11600,3255332
2026-01-29,11600,3255932
2026-01-30,11600,3256725
2026-01-31,11600,3257413
2026-02-01,11600,3258115
2026-02-02,11600,3258779
2026-02-03,11600,3259836
2026-02-04,11700,3260625
2026-02-05,11700,3261992
2026-02-06,11700,3262996
2026-02-07,11700,3263840
2026-02-08,11700,3264453
2026-02-09,11700,3265490
2026-02-10,11700,3266279
2026-02-11,11700,3267372
2026-02-12,11700,3268338
2026-02-13,11700,3268929
2026-02-14,11700,3269537
2026-02-15,11700,3270138
2026-02-16,11700,3271000
2026-02-17,11700,3272119
2026-02-18,11700,3272930
2026-02-19,11700,3273381
2026-02-20,11700,3274467
2026-02-21,11700,3275392
2026-02-22,11700,3276088
2026-02-23,11700,3276813
2026-02-24,11700,3277986
2026-02-25,11700,3278967
2026-02-26,11700,3279658
2026-02-27,11700,3279828
2026-02-28,11700,3281296
2026-03-01,11700,3281983
2026-03-02,11600,3282608
2026-03-03,11700,3283550
2026-03-04,11700,3283906
2026-03-05,11700,3284670
2026-03-06,11700,3285005
2026-03-07,11700,3286292
2026-03-08,11700,3286797
2026-03-09,11700,3287231
2026-03-10,11700,3287902
2026-03-11,11700,3288329
2026-03-12,11700,3289135
2026-03-13,11700,3289698
2026-03-14,11700,3290696
2026-03-15,11700,3291681
2026-03-16,11700,3292113
2026-03-17,11700,3292703
2026-03-18,11700,3293466
2026-03-19,11700,3293851
2026-03-20,11700,3294947
2026-03-21,11700,3295362
2026-03-22,11700,3296315
2026-03-23,11700,3297006
2026-03-24,11700,3297726
2026-03-25,11700,3298079
2026-03-26,11700,3298711
2026-03-27,11700,3299537
2026-03-28,11700,3300178
2026-03-29,11700,3301593
2026-03-30,11700,3301865
2026-03-31,11700,3302611
2026-04-01,11700,3303571
2026-04-02,11700,3304686
2026-04-03,11700,3305170
2026-04-04,11700,3306430
2026-04-05,11700,3307303
2026-04-06,11700,3307988
2026-04-07,11700,3308546
2026-04-08,11700,3312202
2026-04-09,11700,3313718
2026-04-10,11700,3315737
2026-04-11,11700,3316455
2026-04-12,11700,3317298
2026-04-13,11700,3317936
2026-04-14,11700,3318937
2026-04-15,11700,3319465
2026-04-16,11700,3320412
2026-04-17,11700,3320845
2026-04-18,11700,3321377
2026-04-19,11700,3322446
2026-04-20,11700,3324454
2026-04-21,11700,3325268
2026-04-22,11700,3325666
2026-04-23,11700,3326429
2026-04-24,11700,3327155
2026-04-25,11700,3328410
2026-04-26,11700,3329140
2026-04-27,11700,3329786
2026-04-28,11800,14744
2026-04-29,11800,17337
2026-04-30,11800,25625
2026-05-01,11800,27276
2026-05-02,11800,37897
2026-05-03,12000,40826
2026-05-04,12200,62972
2026-05-05,12500,81028
2026-05-06,12600,106369
